,Prediction,Actual
8789,satisfied,satisfied
8790,satisfied,satisfied
8793,satisfied,satisfied
8794,satisfied,satisfied
8795,satisfied,satisfied
8796,satisfied,satisfied
8797,satisfied,satisfied
8799,satisfied,satisfied
8800,satisfied,satisfied
8807,dissatisfied,dissatisfied
8809,dissatisfied,dissatisfied
8812,dissatisfied,dissatisfied
8813,dissatisfied,satisfied
8814,dissatisfied,dissatisfied
8815,dissatisfied,dissatisfied
8816,dissatisfied,dissatisfied
8817,satisfied,satisfied
8819,dissatisfied,dissatisfied
8820,dissatisfied,dissatisfied
8821,dissatisfied,dissatisfied
8822,satisfied,satisfied
8823,dissatisfied,satisfied
8824,satisfied,satisfied
8825,satisfied,satisfied
8827,satisfied,satisfied
8828,satisfied,satisfied
8829,satisfied,satisfied
8830,satisfied,satisfied
8831,dissatisfied,satisfied
8832,satisfied,satisfied
8833,satisfied,satisfied
8834,satisfied,satisfied
8835,satisfied,satisfied
8836,satisfied,satisfied
8837,satisfied,satisfied
8838,satisfied,satisfied
8847,satisfied,satisfied
8851,dissatisfied,dissatisfied
8853,dissatisfied,dissatisfied
8854,dissatisfied,dissatisfied
8857,dissatisfied,satisfied
8859,dissatisfied,satisfied
8860,satisfied,satisfied
8861,satisfied,satisfied
8862,satisfied,satisfied
8864,satisfied,satisfied
8865,satisfied,dissatisfied
8866,satisfied,satisfied
8867,satisfied,satisfied
8869,satisfied,satisfied
8870,satisfied,dissatisfied
8871,satisfied,satisfied
8872,satisfied,satisfied
8874,satisfied,satisfied
8875,satisfied,satisfied
8884,satisfied,dissatisfied
8888,dissatisfied,dissatisfied
8891,satisfied,dissatisfied
8892,satisfied,satisfied
8894,satisfied,dissatisfied
8895,dissatisfied,dissatisfied
8896,dissatisfied,dissatisfied
8897,satisfied,satisfied
8898,dissatisfied,satisfied
8899,satisfied,satisfied
8900,satisfied,satisfied
8901,satisfied,satisfied
8902,satisfied,satisfied
8904,satisfied,satisfied
8905,satisfied,satisfied
8906,satisfied,satisfied
8907,satisfied,satisfied
8908,satisfied,satisfied
8920,dissatisfied,satisfied
8921,dissatisfied,dissatisfied
8923,satisfied,satisfied
8925,dissatisfied,dissatisfied
8926,dissatisfied,dissatisfied
8927,dissatisfied,dissatisfied
8928,dissatisfied,dissatisfied
8929,dissatisfied,satisfied
8931,dissatisfied,satisfied
8935,satisfied,satisfied
8937,satisfied,satisfied
8938,satisfied,satisfied
8939,satisfied,satisfied
8940,satisfied,satisfied
8941,satisfied,satisfied
8942,satisfied,satisfied
8943,satisfied,satisfied
8944,satisfied,satisfied
8945,dissatisfied,dissatisfied
8946,satisfied,dissatisfied
8947,satisfied,satisfied
8956,satisfied,dissatisfied
8958,dissatisfied,satisfied
8960,satisfied,satisfied
8961,satisfied,satisfied
8962,satisfied,satisfied
8963,dissatisfied,satisfied
8964,satisfied,satisfied
8965,satisfied,satisfied
8966,satisfied,satisfied
8968,satisfied,satisfied
8969,satisfied,satisfied
8970,satisfied,satisfied
8971,satisfied,satisfied
8972,satisfied,satisfied
8973,satisfied,satisfied
8974,satisfied,satisfied
8977,satisfied,dissatisfied
8980,satisfied,satisfied
8984,satisfied,satisfied
8988,dissatisfied,satisfied
8989,dissatisfied,satisfied
8992,satisfied,satisfied
8997,dissatisfied,dissatisfied
8999,dissatisfied,satisfied
9001,satisfied,satisfied
9003,satisfied,satisfied
9004,satisfied,satisfied
9005,satisfied,satisfied
9006,satisfied,satisfied
9007,satisfied,satisfied
9008,satisfied,satisfied
9009,satisfied,satisfied
9010,satisfied,satisfied
9011,satisfied,satisfied
9012,satisfied,satisfied
9015,satisfied,satisfied
9018,satisfied,dissatisfied
9020,satisfied,satisfied
9027,dissatisfied,dissatisfied
9029,dissatisfied,satisfied
9030,dissatisfied,dissatisfied
9031,dissatisfied,dissatisfied
9032,satisfied,dissatisfied
9033,dissatisfied,satisfied
9036,dissatisfied,dissatisfied
9037,satisfied,satisfied
9039,satisfied,satisfied
9040,satisfied,satisfied
9041,satisfied,dissatisfied
9042,satisfied,dissatisfied
9043,satisfied,satisfied
9044,satisfied,satisfied
9046,satisfied,satisfied
9047,satisfied,satisfied
9048,satisfied,satisfied
9051,satisfied,satisfied
9063,satisfied,dissatisfied
9065,dissatisfied,satisfied
9066,dissatisfied,dissatisfied
9067,dissatisfied,satisfied
9069,dissatisfied,satisfied
9070,satisfied,satisfied
9072,satisfied,satisfied
9076,satisfied,satisfied
9077,satisfied,satisfied
9078,satisfied,satisfied
9080,satisfied,satisfied
9083,satisfied,satisfied
9084,satisfied,satisfied
9085,satisfied,satisfied
9086,satisfied,satisfied
9087,satisfied,satisfied
9088,satisfied,dissatisfied
9096,satisfied,dissatisfied
9098,satisfied,satisfied
9099,satisfied,satisfied
9101,satisfied,dissatisfied
9102,satisfied,satisfied
9103,dissatisfied,dissatisfied
9106,dissatisfied,dissatisfied
9109,dissatisfied,dissatisfied
9110,satisfied,dissatisfied
9111,dissatisfied,dissatisfied
9113,dissatisfied,dissatisfied
9114,satisfied,satisfied
9115,satisfied,satisfied
9116,satisfied,satisfied
9117,satisfied,satisfied
9118,satisfied,satisfied
9119,satisfied,satisfied
9121,satisfied,satisfied
9122,satisfied,satisfied
9127,satisfied,satisfied
9135,satisfied,satisfied
9136,dissatisfied,dissatisfied
9137,satisfied,satisfied
9138,satisfied,dissatisfied
9139,satisfied,satisfied
9140,satisfied,dissatisfied
9141,dissatisfied,satisfied
9142,dissatisfied,satisfied
9143,dissatisfied,satisfied
9144,satisfied,satisfied
9145,satisfied,dissatisfied
9146,satisfied,dissatisfied
9147,satisfied,satisfied
9148,satisfied,satisfied
9149,satisfied,satisfied
9150,satisfied,satisfied
9151,satisfied,satisfied
9153,satisfied,satisfied
9154,satisfied,satisfied
9155,satisfied,satisfied
9156,satisfied,satisfied
9157,dissatisfied,satisfied
9160,satisfied,satisfied
9163,dissatisfied,satisfied
9168,dissatisfied,dissatisfied
9169,satisfied,satisfied
9170,dissatisfied,dissatisfied
9173,satisfied,satisfied
9174,satisfied,satisfied
9175,satisfied,satisfied
9176,satisfied,satisfied
9177,satisfied,satisfied
9179,satisfied,satisfied
9180,satisfied,satisfied
9181,satisfied,satisfied
9182,satisfied,satisfied
9183,satisfied,satisfied
9184,satisfied,satisfied
9185,satisfied,satisfied
9187,satisfied,satisfied
9189,satisfied,satisfied
9195,satisfied,satisfied
9203,dissatisfied,dissatisfied
9206,dissatisfied,satisfied
9207,satisfied,dissatisfied
9208,satisfied,dissatisfied
9209,satisfied,satisfied
9210,dissatisfied,satisfied
9211,satisfied,dissatisfied
9212,satisfied,dissatisfied
9213,satisfied,satisfied
9214,dissatisfied,satisfied
9215,satisfied,satisfied
9216,satisfied,satisfied
9217,satisfied,satisfied
9218,satisfied,satisfied
9219,satisfied,satisfied
9220,satisfied,satisfied
9221,satisfied,satisfied
9222,satisfied,satisfied
9223,satisfied,satisfied
9224,satisfied,satisfied
9225,satisfied,satisfied
9226,satisfied,satisfied
9227,satisfied,satisfied
9228,satisfied,satisfied
9229,satisfied,satisfied
9230,satisfied,satisfied
9232,satisfied,satisfied
9233,satisfied,satisfied
9247,satisfied,dissatisfied
9249,dissatisfied,dissatisfied
9250,satisfied,satisfied
9251,dissatisfied,satisfied
9252,dissatisfied,satisfied
9253,satisfied,satisfied
9254,dissatisfied,dissatisfied
9256,satisfied,dissatisfied
9257,satisfied,satisfied
9258,satisfied,satisfied
9259,satisfied,satisfied
9260,satisfied,satisfied
9261,satisfied,satisfied
9263,satisfied,satisfied
9264,satisfied,satisfied
9266,satisfied,satisfied
9270,satisfied,satisfied
9271,dissatisfied,dissatisfied
9273,dissatisfied,dissatisfied
9274,dissatisfied,dissatisfied
9275,dissatisfied,satisfied
9276,dissatisfied,satisfied
9279,satisfied,satisfied
9280,dissatisfied,satisfied
9281,dissatisfied,satisfied
9282,dissatisfied,satisfied
9286,satisfied,satisfied
9287,satisfied,satisfied
9288,satisfied,satisfied
9289,satisfied,satisfied
9290,satisfied,satisfied
9293,satisfied,satisfied
9294,satisfied,satisfied
9295,satisfied,satisfied
9296,satisfied,satisfied
9297,satisfied,satisfied
9298,satisfied,satisfied
9311,dissatisfied,satisfied
9312,dissatisfied,dissatisfied
9314,dissatisfied,dissatisfied
9316,dissatisfied,satisfied
9317,satisfied,satisfied
9318,satisfied,satisfied
9319,satisfied,satisfied
9320,satisfied,satisfied
9321,satisfied,satisfied
9322,satisfied,satisfied
9323,satisfied,satisfied
9324,satisfied,satisfied
9326,satisfied,satisfied
9327,satisfied,satisfied
9334,dissatisfied,dissatisfied
9338,dissatisfied,dissatisfied
9340,satisfied,dissatisfied
9342,satisfied,satisfied
9343,satisfied,dissatisfied
9344,satisfied,dissatisfied
9346,satisfied,satisfied
9347,dissatisfied,satisfied
9349,satisfied,satisfied
9350,satisfied,satisfied
9351,satisfied,satisfied
9352,satisfied,satisfied
9353,satisfied,satisfied
9354,satisfied,dissatisfied
9355,satisfied,satisfied
9356,satisfied,satisfied
9357,satisfied,satisfied
9358,satisfied,satisfied
9359,satisfied,satisfied
9360,satisfied,satisfied
9361,satisfied,satisfied
9362,satisfied,satisfied
9366,dissatisfied,satisfied
9367,dissatisfied,dissatisfied
9369,satisfied,dissatisfied
9377,dissatisfied,dissatisfied
9379,dissatisfied,dissatisfied
9380,dissatisfied,satisfied
9381,dissatisfied,dissatisfied
9382,dissatisfied,satisfied
9386,dissatisfied,satisfied
9387,satisfied,dissatisfied
9388,dissatisfied,dissatisfied
9390,satisfied,satisfied
9391,satisfied,satisfied
9392,satisfied,satisfied
9393,satisfied,satisfied
9394,satisfied,satisfied
9395,satisfied,satisfied
9396,satisfied,satisfied
9397,satisfied,satisfied
9398,satisfied,satisfied
9399,satisfied,satisfied
9400,satisfied,satisfied
9401,satisfied,satisfied
9402,satisfied,satisfied
9403,satisfied,satisfied
9405,satisfied,satisfied
9406,satisfied,satisfied
9407,satisfied,satisfied
9408,satisfied,satisfied
9410,satisfied,satisfied
9411,satisfied,satisfied
9412,satisfied,satisfied
9418,satisfied,dissatisfied
9425,satisfied,dissatisfied
9427,dissatisfied,dissatisfied
9428,dissatisfied,satisfied
9431,dissatisfied,dissatisfied
9432,dissatisfied,satisfied
9433,satisfied,satisfied
9434,dissatisfied,dissatisfied
9435,satisfied,satisfied
9436,satisfied,satisfied
9437,satisfied,satisfied
9439,satisfied,satisfied
9440,satisfied,satisfied
9441,satisfied,satisfied
9442,satisfied,satisfied
9443,satisfied,satisfied
9444,satisfied,satisfied
9445,satisfied,satisfied
9446,satisfied,satisfied
9447,satisfied,satisfied
9448,satisfied,satisfied
9449,satisfied,satisfied
9450,satisfied,satisfied
9451,satisfied,satisfied
9452,satisfied,satisfied
9453,satisfied,satisfied
9454,satisfied,satisfied
9455,dissatisfied,satisfied
9457,satisfied,dissatisfied
9460,dissatisfied,dissatisfied
9469,satisfied,satisfied
9473,dissatisfied,dissatisfied
9474,dissatisfied,satisfied
9476,dissatisfied,satisfied
9477,satisfied,satisfied
9480,satisfied,satisfied
9481,satisfied,satisfied
9482,satisfied,satisfied
9483,satisfied,satisfied
9484,satisfied,satisfied
9485,satisfied,satisfied
9487,satisfied,dissatisfied
9488,satisfied,satisfied
9489,satisfied,satisfied
9490,satisfied,satisfied
9491,satisfied,satisfied
9492,satisfied,satisfied
9493,satisfied,satisfied
9494,satisfied,satisfied
9495,satisfied,satisfied
9496,satisfied,satisfied
9497,satisfied,satisfied
9498,satisfied,satisfied
9499,satisfied,satisfied
9500,satisfied,satisfied
9510,dissatisfied,dissatisfied
9511,dissatisfied,satisfied
9512,dissatisfied,dissatisfied
9513,satisfied,dissatisfied
9515,dissatisfied,satisfied
9516,satisfied,dissatisfied
9517,dissatisfied,satisfied
9518,dissatisfied,dissatisfied
9519,satisfied,satisfied
9521,satisfied,dissatisfied
9522,dissatisfied,dissatisfied
9523,satisfied,satisfied
9524,satisfied,satisfied
9525,satisfied,satisfied
9526,satisfied,satisfied
9527,satisfied,satisfied
9528,satisfied,satisfied
9529,satisfied,satisfied
9530,satisfied,satisfied
9531,satisfied,satisfied
9533,satisfied,satisfied
9534,satisfied,satisfied
9537,satisfied,satisfied
9538,satisfied,satisfied
9539,satisfied,satisfied
9540,satisfied,satisfied
9541,satisfied,dissatisfied
9547,dissatisfied,dissatisfied
9551,dissatisfied,dissatisfied
9552,dissatisfied,satisfied
9553,dissatisfied,satisfied
9555,dissatisfied,dissatisfied
9556,dissatisfied,dissatisfied
9558,dissatisfied,dissatisfied
9560,satisfied,dissatisfied
9561,dissatisfied,dissatisfied
9562,dissatisfied,dissatisfied
9563,satisfied,satisfied
9565,satisfied,satisfied
9566,satisfied,satisfied
9567,satisfied,satisfied
9568,satisfied,satisfied
9570,satisfied,satisfied
9571,satisfied,dissatisfied
9572,satisfied,satisfied
9574,satisfied,satisfied
9575,dissatisfied,satisfied
9576,satisfied,satisfied
9577,satisfied,satisfied
9578,satisfied,satisfied
9579,satisfied,satisfied
9580,satisfied,satisfied
9582,satisfied,satisfied
9583,satisfied,satisfied
9584,satisfied,satisfied
9585,satisfied,satisfied
9586,satisfied,satisfied
9587,satisfied,satisfied
9591,satisfied,satisfied
9592,dissatisfied,dissatisfied
9597,dissatisfied,dissatisfied
9598,dissatisfied,satisfied
9599,satisfied,dissatisfied
9600,dissatisfied,satisfied
9601,dissatisfied,dissatisfied
9602,dissatisfied,satisfied
9603,dissatisfied,satisfied
9605,satisfied,satisfied
9607,satisfied,satisfied
9608,satisfied,satisfied
9610,satisfied,satisfied
9611,satisfied,satisfied
9612,satisfied,satisfied
9613,satisfied,satisfied
9616,dissatisfied,dissatisfied
9620,dissatisfied,dissatisfied
9621,satisfied,dissatisfied
9623,satisfied,dissatisfied
9624,dissatisfied,satisfied
9625,dissatisfied,satisfied
9626,dissatisfied,satisfied
9627,satisfied,dissatisfied
9628,satisfied,dissatisfied
9629,dissatisfied,satisfied
9630,dissatisfied,satisfied
9631,satisfied,satisfied
9632,satisfied,satisfied
9633,satisfied,satisfied
9634,satisfied,dissatisfied
9635,satisfied,dissatisfied
9636,satisfied,satisfied
9637,dissatisfied,dissatisfied
9638,satisfied,satisfied
9639,satisfied,satisfied
9640,satisfied,satisfied
9641,satisfied,satisfied
9642,satisfied,satisfied
9643,satisfied,satisfied
9644,satisfied,satisfied
9648,satisfied,satisfied
9652,dissatisfied,dissatisfied
9653,satisfied,satisfied
9654,satisfied,satisfied
9655,dissatisfied,dissatisfied
9656,dissatisfied,dissatisfied
9657,dissatisfied,dissatisfied
9659,satisfied,satisfied
9660,satisfied,satisfied
9661,satisfied,satisfied
9664,satisfied,satisfied
9665,satisfied,satisfied
9668,satisfied,satisfied
9669,satisfied,satisfied
9670,satisfied,satisfied
9671,satisfied,satisfied
9672,dissatisfied,dissatisfied
9682,dissatisfied,dissatisfied
9684,dissatisfied,satisfied
9687,dissatisfied,satisfied
9688,satisfied,dissatisfied
9689,satisfied,satisfied
9691,satisfied,satisfied
9694,satisfied,satisfied
9695,satisfied,satisfied
9696,satisfied,satisfied
9697,satisfied,satisfied
9698,satisfied,satisfied
9699,satisfied,satisfied
9701,satisfied,satisfied
9702,satisfied,satisfied
9703,satisfied,satisfied
9704,satisfied,satisfied
9705,satisfied,satisfied
9706,satisfied,satisfied
9707,satisfied,satisfied
9708,satisfied,satisfied
9709,satisfied,satisfied
9710,satisfied,satisfied
9711,satisfied,satisfied
9712,satisfied,satisfied
9713,satisfied,satisfied
9720,satisfied,dissatisfied
9723,dissatisfied,dissatisfied
9726,satisfied,dissatisfied
9727,dissatisfied,satisfied
9728,satisfied,satisfied
9730,dissatisfied,satisfied
9731,satisfied,dissatisfied
9734,dissatisfied,satisfied
9738,satisfied,satisfied
9739,satisfied,satisfied
9742,satisfied,satisfied
9743,satisfied,satisfied
9745,satisfied,dissatisfied
9746,satisfied,dissatisfied
9747,satisfied,satisfied
9749,satisfied,satisfied
9750,satisfied,satisfied
9751,satisfied,satisfied
9761,satisfied,satisfied
9764,satisfied,dissatisfied
9765,dissatisfied,satisfied
9766,dissatisfied,satisfied
9768,dissatisfied,satisfied
9769,satisfied,dissatisfied
9770,dissatisfied,satisfied
9771,satisfied,dissatisfied
9772,dissatisfied,satisfied
9774,satisfied,satisfied
9775,satisfied,satisfied
9777,satisfied,satisfied
9778,satisfied,satisfied
9779,satisfied,satisfied
9780,satisfied,satisfied
9781,satisfied,satisfied
9782,satisfied,satisfied
9783,satisfied,satisfied
9784,satisfied,satisfied
9785,satisfied,satisfied
9786,satisfied,satisfied
9787,satisfied,satisfied
9793,dissatisfied,dissatisfied
9797,dissatisfied,dissatisfied
9798,dissatisfied,dissatisfied
9799,satisfied,satisfied
9800,dissatisfied,dissatisfied
9801,dissatisfied,satisfied
9802,satisfied,satisfied
9803,satisfied,satisfied
9804,satisfied,satisfied
9805,satisfied,satisfied
9806,satisfied,dissatisfied
9807,satisfied,dissatisfied
9808,satisfied,satisfied
9809,satisfied,satisfied
9810,satisfied,satisfied
9811,satisfied,satisfied
9812,satisfied,satisfied
9813,satisfied,satisfied
9814,satisfied,satisfied
9815,satisfied,satisfied
9816,satisfied,satisfied
9823,satisfied,satisfied
9830,dissatisfied,dissatisfied
9834,dissatisfied,dissatisfied
9835,dissatisfied,dissatisfied
9836,dissatisfied,satisfied
9837,satisfied,satisfied
9838,satisfied,satisfied
9841,satisfied,dissatisfied
9843,satisfied,satisfied
9844,satisfied,satisfied
9845,satisfied,satisfied
9846,satisfied,satisfied
9847,satisfied,satisfied
9849,satisfied,satisfied
9851,satisfied,satisfied
9852,satisfied,satisfied
9863,dissatisfied,dissatisfied
9864,dissatisfied,dissatisfied
9865,dissatisfied,dissatisfied
9868,satisfied,dissatisfied
9869,dissatisfied,dissatisfied
9870,dissatisfied,dissatisfied
9872,dissatisfied,dissatisfied
9873,dissatisfied,satisfied
9874,satisfied,dissatisfied
9875,satisfied,satisfied
9876,satisfied,satisfied
9877,satisfied,satisfied
9878,satisfied,satisfied
9879,satisfied,satisfied
9880,satisfied,satisfied
9881,satisfied,satisfied
9884,satisfied,satisfied
9885,satisfied,satisfied
9886,satisfied,satisfied
9887,satisfied,satisfied
9890,satisfied,satisfied
9891,satisfied,satisfied
9892,dissatisfied,dissatisfied
9894,satisfied,dissatisfied
9907,dissatisfied,satisfied
9908,dissatisfied,satisfied
9909,satisfied,satisfied
9911,satisfied,dissatisfied
9912,dissatisfied,satisfied
9913,satisfied,satisfied
9914,satisfied,satisfied
9915,satisfied,satisfied
9916,dissatisfied,satisfied
9919,satisfied,satisfied
9920,satisfied,satisfied
9921,satisfied,dissatisfied
9922,satisfied,satisfied
9924,satisfied,satisfied
9925,satisfied,satisfied
9926,satisfied,satisfied
9927,satisfied,satisfied
9928,satisfied,satisfied
9929,satisfied,satisfied
9930,satisfied,satisfied
9931,satisfied,satisfied
9932,satisfied,satisfied
9933,satisfied,satisfied
9934,satisfied,satisfied
9935,satisfied,satisfied
9936,satisfied,satisfied
9937,satisfied,satisfied
9938,satisfied,satisfied
9939,satisfied,satisfied
9944,satisfied,satisfied
9948,dissatisfied,dissatisfied
9950,dissatisfied,satisfied
9954,satisfied,dissatisfied
9956,dissatisfied,dissatisfied
9957,satisfied,dissatisfied
9958,satisfied,dissatisfied
9959,satisfied,dissatisfied
9960,satisfied,dissatisfied
9962,dissatisfied,satisfied
9963,satisfied,satisfied
9964,satisfied,satisfied
9965,satisfied,satisfied
9966,satisfied,satisfied
9967,satisfied,satisfied
9968,satisfied,satisfied
9969,satisfied,satisfied
9970,satisfied,satisfied
9971,satisfied,satisfied
9972,satisfied,satisfied
9981,dissatisfied,dissatisfied
9982,dissatisfied,dissatisfied
9983,satisfied,satisfied
9986,satisfied,dissatisfied
9987,dissatisfied,dissatisfied
9988,dissatisfied,dissatisfied
9989,dissatisfied,satisfied
9990,dissatisfied,satisfied
9991,satisfied,dissatisfied
9992,dissatisfied,satisfied
9993,dissatisfied,dissatisfied
9994,satisfied,satisfied
9995,satisfied,satisfied
9996,satisfied,satisfied
9997,satisfied,satisfied
9998,satisfied,satisfied
9999,satisfied,satisfied
10000,satisfied,satisfied
10004,satisfied,satisfied
10005,satisfied,satisfied
10009,dissatisfied,dissatisfied
10010,satisfied,satisfied
10014,dissatisfied,satisfied
10016,satisfied,dissatisfied
10017,satisfied,dissatisfied
10020,dissatisfied,satisfied
10021,satisfied,satisfied
10022,satisfied,satisfied
10023,satisfied,satisfied
10025,satisfied,satisfied
10026,dissatisfied,satisfied
10028,dissatisfied,dissatisfied
10029,satisfied,dissatisfied
10031,satisfied,satisfied
10032,satisfied,satisfied
10033,satisfied,dissatisfied
10034,satisfied,dissatisfied
10035,satisfied,satisfied
10036,satisfied,satisfied
10037,satisfied,satisfied
10038,satisfied,satisfied
10039,satisfied,satisfied
10040,satisfied,satisfied
10041,satisfied,satisfied
10042,satisfied,satisfied
10044,satisfied,satisfied
10045,satisfied,satisfied
10046,satisfied,satisfied
10047,satisfied,satisfied
10048,satisfied,satisfied
10049,satisfied,satisfied
10051,satisfied,satisfied
10052,dissatisfied,satisfied
10054,dissatisfied,dissatisfied
10062,dissatisfied,dissatisfied
10063,satisfied,satisfied
10065,dissatisfied,dissatisfied
10066,satisfied,dissatisfied
10067,satisfied,satisfied
10068,dissatisfied,satisfied
10069,satisfied,satisfied
10070,satisfied,satisfied
10071,satisfied,satisfied
10073,satisfied,satisfied
10074,satisfied,satisfied
10075,satisfied,satisfied
10076,satisfied,satisfied
10077,satisfied,satisfied
10078,satisfied,satisfied
10079,satisfied,satisfied
10080,satisfied,satisfied
10081,satisfied,satisfied
10082,satisfied,satisfied
10083,satisfied,satisfied
10084,satisfied,satisfied
10096,satisfied,satisfied
10099,dissatisfied,dissatisfied
10100,dissatisfied,satisfied
10102,satisfied,satisfied
10103,satisfied,satisfied
10106,dissatisfied,dissatisfied
10109,satisfied,satisfied
10111,satisfied,satisfied
10112,satisfied,satisfied
10113,satisfied,dissatisfied
10114,satisfied,satisfied
10115,satisfied,satisfied
10116,satisfied,satisfied
10118,satisfied,satisfied
10119,satisfied,satisfied
10120,dissatisfied,satisfied
10122,satisfied,satisfied
10123,satisfied,satisfied
10124,satisfied,satisfied
10125,satisfied,satisfied
10129,dissatisfied,dissatisfied
10137,dissatisfied,dissatisfied
10138,satisfied,satisfied
10139,satisfied,satisfied
10140,dissatisfied,satisfied
10141,dissatisfied,dissatisfied
10142,dissatisfied,dissatisfied
10143,satisfied,dissatisfied
10144,satisfied,satisfied
10145,satisfied,satisfied
10146,satisfied,satisfied
10147,satisfied,satisfied
10148,satisfied,satisfied
10149,satisfied,satisfied
10150,satisfied,satisfied
10151,satisfied,satisfied
10153,satisfied,satisfied
10154,satisfied,satisfied
10155,satisfied,satisfied
10156,satisfied,satisfied
10157,satisfied,satisfied
10158,satisfied,satisfied
10163,satisfied,dissatisfied
10165,satisfied,dissatisfied
10166,dissatisfied,dissatisfied
10167,dissatisfied,dissatisfied
10169,satisfied,dissatisfied
10170,dissatisfied,dissatisfied
10171,satisfied,dissatisfied
10172,dissatisfied,satisfied
10173,dissatisfied,satisfied
10174,satisfied,satisfied
10175,satisfied,satisfied
10178,satisfied,satisfied
10179,satisfied,satisfied
10180,satisfied,satisfied
10181,satisfied,satisfied
10182,satisfied,satisfied
10183,satisfied,satisfied
10185,satisfied,satisfied
10186,satisfied,satisfied
10187,satisfied,satisfied
10188,satisfied,satisfied
10189,satisfied,satisfied
10199,dissatisfied,satisfied
10200,satisfied,satisfied
10201,dissatisfied,dissatisfied
10202,dissatisfied,dissatisfied
10203,dissatisfied,satisfied
10205,satisfied,satisfied
10207,satisfied,satisfied
10209,satisfied,satisfied
10210,satisfied,satisfied
10211,satisfied,satisfied
10216,satisfied,satisfied
10221,satisfied,dissatisfied
10222,satisfied,dissatisfied
10225,dissatisfied,satisfied
10226,satisfied,dissatisfied
10227,dissatisfied,satisfied
10228,satisfied,dissatisfied
10229,dissatisfied,dissatisfied
10231,dissatisfied,dissatisfied
10235,satisfied,satisfied
10237,satisfied,dissatisfied
10238,satisfied,satisfied
10239,satisfied,satisfied
10240,satisfied,dissatisfied
10241,satisfied,satisfied
10242,satisfied,satisfied
10243,satisfied,satisfied
10244,satisfied,satisfied
10245,satisfied,satisfied
10246,satisfied,satisfied
10247,satisfied,satisfied
10248,satisfied,satisfied
10249,satisfied,satisfied
10250,dissatisfied,dissatisfied
10257,dissatisfied,dissatisfied
10258,satisfied,dissatisfied
10259,satisfied,dissatisfied
10260,dissatisfied,dissatisfied
10261,satisfied,dissatisfied
10262,satisfied,dissatisfied
10263,satisfied,satisfied
10264,satisfied,dissatisfied
10265,dissatisfied,satisfied
10266,satisfied,satisfied
10267,satisfied,satisfied
10268,satisfied,satisfied
10269,satisfied,satisfied
10271,satisfied,satisfied
10272,satisfied,satisfied
10273,satisfied,satisfied
10274,satisfied,satisfied
10275,satisfied,satisfied
10277,satisfied,dissatisfied
10283,satisfied,dissatisfied
10285,satisfied,dissatisfied
10287,dissatisfied,dissatisfied
10288,dissatisfied,dissatisfied
10289,dissatisfied,dissatisfied
10290,satisfied,dissatisfied
10291,dissatisfied,satisfied
10292,dissatisfied,dissatisfied
10295,satisfied,satisfied
10296,satisfied,satisfied
10297,satisfied,satisfied
10298,satisfied,satisfied
10299,satisfied,satisfied
10301,satisfied,satisfied
10302,satisfied,satisfied
10303,satisfied,satisfied
10304,satisfied,satisfied
10305,satisfied,satisfied
10306,satisfied,satisfied
10307,satisfied,satisfied
10318,dissatisfied,satisfied
10319,dissatisfied,satisfied
10320,dissatisfied,dissatisfied
10321,satisfied,dissatisfied
10322,dissatisfied,dissatisfied
10324,dissatisfied,dissatisfied
10325,dissatisfied,dissatisfied
10326,dissatisfied,satisfied
10327,satisfied,satisfied
10328,satisfied,satisfied
10329,satisfied,satisfied
10330,satisfied,satisfied
10331,satisfied,satisfied
10332,satisfied,satisfied
10333,satisfied,satisfied
10335,satisfied,satisfied
10337,satisfied,satisfied
10338,satisfied,satisfied
10340,satisfied,satisfied
10341,satisfied,satisfied
10343,satisfied,dissatisfied
10347,satisfied,satisfied
10355,dissatisfied,dissatisfied
10356,dissatisfied,dissatisfied
10359,dissatisfied,satisfied
10360,satisfied,dissatisfied
10362,satisfied,dissatisfied
10363,dissatisfied,satisfied
10364,dissatisfied,satisfied
10365,satisfied,satisfied
10366,satisfied,satisfied
10367,satisfied,satisfied
10368,satisfied,dissatisfied
10372,satisfied,satisfied
10373,satisfied,satisfied
10374,satisfied,satisfied
10375,satisfied,satisfied
10376,satisfied,satisfied
10378,satisfied,satisfied
10385,dissatisfied,dissatisfied
10386,dissatisfied,satisfied
10388,dissatisfied,satisfied
10389,satisfied,dissatisfied
10390,dissatisfied,satisfied
10391,dissatisfied,dissatisfied
10392,satisfied,satisfied
10395,satisfied,satisfied
10396,satisfied,satisfied
10398,satisfied,dissatisfied
10399,satisfied,satisfied
10400,satisfied,satisfied
10401,satisfied,satisfied
10402,satisfied,satisfied
10403,satisfied,satisfied
10404,satisfied,satisfied
10412,dissatisfied,dissatisfied
10418,satisfied,dissatisfied
10421,satisfied,dissatisfied
10423,dissatisfied,dissatisfied
10427,dissatisfied,satisfied
10429,satisfied,satisfied
10430,satisfied,satisfied
10431,satisfied,satisfied
10432,satisfied,satisfied
10434,satisfied,satisfied
10435,satisfied,satisfied
10437,satisfied,satisfied
10438,satisfied,satisfied
10440,dissatisfied,satisfied
10449,dissatisfied,dissatisfied
10450,satisfied,satisfied
10453,satisfied,dissatisfied
10455,satisfied,dissatisfied
10458,satisfied,dissatisfied
10460,satisfied,satisfied
10461,satisfied,dissatisfied
10463,dissatisfied,satisfied
10465,satisfied,satisfied
10466,satisfied,satisfied
